Subject,Predicate,Object,SubjectLabels,ObjectLabels,Fuzzy
用户#266,Proposes,需求#266,User,Requirement,1.0
目标#266,Specifies,需求#266,Goal,Requirement,1.0
我希望无人机的仪器和实验设备具备高可靠性,Defines,目标#267,User_Story,Goal,1.0
用户#267,Proposes,需求#267,User,Requirement,1.0
目标#267,Specifies,需求#267,Goal,Requirement,1.0
我需要无人机的导航和定位系统具备高度可靠性,Defines,目标#268,User_Story,Goal,1.0
用户#268,Proposes,需求#268,User,Requirement,1.0
目标#268,Specifies,需求#268,Goal,Requirement,1.0
我希望无人机的冰川探测和采集设备具备高可靠性,Defines,目标#269,User_Story,Goal,1.0
用户#269,Proposes,需求#269,User,Requirement,1.0
目标#269,Specifies,需求#269,Goal,Requirement,1.0
我需要无人机的水下声纳和测量设备具备高可靠性,Defines,目标#270,User_Story,Goal,1.0
用户#270,Proposes,需求#270,User,Requirement,1.0
目标#270,Specifies,需求#270,Goal,Requirement,1.0
我希望无人机的遥感和测绘设备具备高可靠性,Defines,目标#271,User_Story,Goal,1.0
用户#271,Proposes,需求#271,User,Requirement,1.0
目标#271,Specifies,需求#271,Goal,Requirement,1.0
我需要无人机的气象监测和风场探测设备具备高可靠性,Defines,目标#272,User_Story,Goal,1.0
用户#272,Proposes,需求#272,User,Requirement,1.0
目标#272,Specifies,需求#272,Goal,Requirement,1.0
我希望无人机的避障和自主导航系统具备高可靠性,Defines,目标#273,User_Story,Goal,1.0
用户#273,Proposes,需求#273,User,Requirement,1.0
目标#273,Specifies,需求#273,Goal,Requirement,1.0
我需要无人机的农作物监测和喷洒设备具备高可靠性,Defines,目标#274,User_Story,Goal,1.0
用户#274,Proposes,需求#274,User,Requirement,1.0
目标#274,Specifies,需求#274,Goal,Requirement,1.0
我希望无人机的地质探测和矿产勘查设备具备高可靠性,Defines,目标#275,User_Story,Goal,1.0
用户#275,Proposes,需求#275,User,Requirement,1.0
目标#275,Specifies,需求#275,Goal,Requirement,1.0
我需要无人机的动物跟踪和监测设备具备高可靠性,Defines,目标#276,User_Story,Goal,1.0
用户#276,Proposes,需求#276,User,Requirement,1.0
目标#276,Specifies,需求#276,Goal,Requirement,1.0
我希望无人机的地质监测和预警设备具备高可靠性,Defines,目标#277,User_Story,Goal,1.0
用户#277,Proposes,需求#277,User,Requirement,1.0
目标#277,Specifies,需求#277,Goal,Requirement,1.0
我需要无人机的海洋生态监测和水下摄像设备具备高可靠性,Defines,目标#278,User_Story,Goal,1.0
用户#278,Proposes,需求#278,User,Requirement,1.0
目标#278,Specifies,需求#278,Goal,Requirement,1.0
我希望无人机的环境采样和监测设备具备高可靠性,Defines,目标#279,User_Story,Goal,1.0
用户#279,Proposes,需求#279,User,Requirement,1.0
目标#279,Specifies,需求#279,Goal,Requirement,1.0
